,index,run_no_true,alpha,lambda,direction,phase_val,akio_alpha_l5_p,akio_alpha_l10_p,akio_alpha_l25_p,akio_alpha_l5_n,akio_alpha_l10_n,akio_alpha_l25_n,nadav_alpha_l5_n,nadav_alpha_l10_n,nadav_alpha_l25_n,nadav_alpha_l5_p,nadav_alpha_l10_p,nadav_alpha_l25_p,chas_alpha_l5_p,chas_alpha_l10_p,chas_alpha_l12_p,chas_alpha_l18_p,chas_alpha_l20_p,chas_alpha_l25_p,chas_alpha_l31_p,chas_alpha_l5_n,chas_alpha_l10_n,chas_alpha_l12_n,chas_alpha_l18_n,chas_alpha_l20_n,chas_alpha_l25_n,chas_alpha_l31_n
15,85,15,767000000.0,12,pull,Flip,6.06,1.06,0.53,-1.65,-0.29,-0.15,,,,59.3847933979,,4.91715928482,33.1614071385,5.80184754319,4.35603443525,3.23372064355,3.06954124003,2.89449159952,2.75536086239,33.1614071385,5.80184754319,4.35603443525,3.23372064355,3.06954124003,2.89449159952,2.75536086239
16,29,16,62000000.0,18,pull,TF,7.58,1.33,0.65,-1.66,-0.29,-0.15,,,,9.03580928993,1.52273263121,0.744921448742,7.6779622047,1.34313114797,1.00840213482,0.74838508873,0.710162370078,0.668978203881,0.634791114587,7.6779622047,1.34313114797,1.00840213482,0.74838508873,0.710162370078,0.668978203881,0.634791114587
17,1,17,149000000.0,18,pull,TF,16.6,4.0,1.43,-1.64,-0.4,-0.15,,,,18.6842286948,3.15465893043,1.54545716972,16.6308464262,2.90906552839,2.18406395033,1.62087532346,1.53806763089,1.44879195632,1.37448739454,16.6308464262,2.90906552839,2.18406395033,1.62087532346,1.53806763089,1.44879195632,1.37448739454
18,68,18,3200000.0,10,pull,TF,2.41,0.42,0.21,-1.97,-0.35,-0.17,,,,2.28187820885,0.391460629816,0.19009955887,1.48079759978,0.259195724852,0.194612337575,0.144449840186,0.137088722824,0.129193374492,0.122775482323,1.48079759978,0.259195724852,0.194612337575,0.144449840186,0.137088722824,0.129193374492,0.122775482323
19,32,19,24000000.0,18,pull,TF,3.49,0.61,0.3,-1.69,-0.3,-0.15,,,,4.79686862227,0.809371582187,0.396343043393,3.76771831886,0.659197260484,0.494922832309,0.36731835866,0.348568512098,0.32838880733,0.311723700456,3.76771831886,0.659197260484,0.494922832309,0.36731835866,0.348568512098,0.32838880733,0.311723700456
20,27,20,40000000.0,18,pull,TF,5.01,0.88,0.43,-1.66,-0.29,-0.15,,,,6.53774715545,1.10966446942,0.542503470878,5.41406248388,0.947156619115,0.711115045807,0.527760397862,0.50081181498,0.471788527961,0.447746094751,5.41406248388,0.947156619115,0.711115045807,0.527760397862,0.50081181498,0.471788527961,0.447746094751
21,70,21,3300000.0,10,pull,TF,2.41,0.43,0.21,-1.98,-0.35,-0.17,,,,2.28714146517,0.392546524921,0.190702008591,1.48597704117,0.260101632036,0.195292468378,0.144954619511,0.137567750415,0.129644708814,0.123203999171,1.48597704117,0.260101632036,0.195292468378,0.144954619511,0.137567750415,0.129644708814,0.123203999171
22,66,22,3000000.0,10,pull,TF,2.4,0.42,0.21,-1.98,-0.35,-0.17,,,,2.27026961341,0.389030077318,0.188774657379,1.46980514029,0.257272839252,0.193168672902,0.143378546974,0.136072297632,0.128236399629,0.12186905992,1.46980514029,0.257272839252,0.193168672902,0.143378546974,0.136072297632,0.128236399629,0.12186905992
23,19,23,294000000.0,10,pull,TF,18.05,3.16,1.55,-1.64,-0.29,-0.15,,,,20.2301365853,3.42080390488,1.67353169403,18.0867685904,3.16371726764,2.37524958576,1.76275898923,1.67270060359,1.57560338715,1.49477218441,18.0867685904,3.16371726764,2.37524958576,1.76275898923,1.67270060359,1.57560338715,1.49477218441
24,12,24,512000000.0,18,pull,TF,46.03,8.04,3.95,-1.64,-0.29,-0.15,,,,59.057256921,,4.88710627113,53.9965603122,9.44463952557,7.09079862079,5.26229458599,4.99340697752,4.70341585436,4.46167429105,53.9965603122,9.44463952557,7.09079862079,5.26229458599,4.99340697752,4.70341585436,4.46167429105
25,50,25,11000000.0,31,pull,TF,2.81,0.5,0.25,-1.8,-0.32,-0.16,,,,3.54084836957,0.603958705553,0.295130196198,2.63505360195,0.461084977543,0.346185438415,0.256936627253,0.24382769776,0.229733172019,0.218146329027,2.63505360195,0.461084977543,0.346185438415,0.256936627253,0.24382769776,0.229733172019,0.218146329027
26,84,26,226000000.0,12,pull,Flip,5.08,0.89,0.44,-1.65,-0.29,-0.15,,,,18.6779075719,3.15645687267,1.54658687557,10.6889229002,1.87020027265,1.40415485413,1.0423688765,0.989431478393,0.932963757297,0.88800845235,10.6889229002,1.87020027265,1.40415485413,1.0423688765,0.989431478393,0.932963757297,0.88800845235
27,35,27,27000000.0,18,pull,TF,3.77,0.66,0.33,-1.66,-0.3,-0.15,,,,5.11791599364,0.86440131997,0.423159583149,4.07666095265,0.713233701092,0.53549193665,0.397425785732,0.377137438159,0.355298255304,0.337248892057,4.07666095265,0.713233701092,0.53549193665,0.397425785732,0.377137438159,0.355298255304,0.337248892057
28,73,28,6900000.0,5,pull,TF,2.37,0.42,0.21,-1.98,-0.35,-0.17,,,,2.17388899737,0.369382290092,0.177973313758,1.36493976721,0.238931136425,0.179398220735,0.13315910094,0.126375028739,0.119102260066,0.11320421964,1.36493976721,0.238931136425,0.179398220735,0.13315910094,0.126375028739,0.119102260066,0.11320421964
29,94,29,32000000.0,12,push,TF,1.76,0.31,0.15,-2.74,-0.48,-0.24,-5.13343128232,-0.867853777156,-0.425009481752,,,,-1.14338697602,-0.199795990652,-0.149986399077,-0.11128599422,-0.105578630035,-0.0993773572205,-0.0940348841793,-1.14338697602,-0.199795990652,-0.149986399077,-0.11128599422,-0.105578630035,-0.0993773572205,-0.0940348841793
30,25,30,744000000.0,31,pull,TF,72.28,12.62,6.2,-1.7,-0.29,-0.15,,,,,17.0699420426,8.2940156496,91.7140517823,16.0417714827,12.0437523194,8.93803377024,8.48133365379,7.98879884531,7.57823243207,91.7140517823,16.0417714827,12.0437523194,8.93803377024,8.48133365379,7.98879884531,7.57823243207
31,83,31,100000000.0,12,pull,Random,2.58,0.46,0.22,-2.13,-0.38,-0.19,,-0.684362918693,,2.24017992761,0.592133021037,0.185263126373,5.08052666926,0.888472917096,0.667027290159,0.494962970639,0.469621796104,0.442216075262,0.419156159637,5.08052666926,0.888472917096,0.667027290159,0.494962970639,0.469621796104,0.442216075262,0.419156159637
32,61,32,7900000.0,18,pull,TF,2.65,0.47,0.23,-1.91,-0.34,-0.17,,,,3.02350582721,0.507107519771,0.247082771326,2.11649798022,0.370384569137,0.278089913465,0.206400508129,0.195873348071,0.184562341593,0.175293042706,2.11649798022,0.370384569137,0.278089913465,0.206400508129,0.195873348071,0.184562341593,0.175293042706
33,43,33,15000000.0,10,pull,TF,2.67,0.47,0.23,-1.9,-0.34,-0.17,,,,3.05778112261,0.514652343197,0.25046620746,2.15420958304,0.376981041038,0.283042411784,0.210076241113,0.199361641505,0.187849225181,0.178414552936,2.15420958304,0.376981041038,0.283042411784,0.210076241113,0.199361641505,0.187849225181,0.178414552936
34,71,34,1700000.0,5,pull,TF,2.34,0.41,0.21,-1.98,-0.35,-0.18,,,,2.12827380637,0.360203189498,0.172981334727,1.3136990506,0.229968726046,0.172669483308,0.128165527563,0.121636635833,0.114639129929,0.1089707636,1.3136990506,0.229968726046,0.172669483308,0.128165527563,0.121636635833,0.114639129929,0.1089707636
35,55,35,4600000.0,18,pull,TF,2.52,0.45,0.22,-1.95,-0.35,-0.17,,,,2.60975031504,0.443503211988,0.216672714266,1.77093428843,0.309943212825,0.232712209631,0.172724737858,0.163918693822,0.154464667526,0.146746171815,1.77093428843,0.309943212825,0.232712209631,0.172724737858,0.163918693822,0.154464667526,0.146746171815
36,88,36,488000000.0,12,pull,Flip,6.07,1.07,0.53,-1.65,-0.29,-0.15,,,,38.2823738313,6.46411457196,3.16795004955,21.573547809,3.77450675215,2.8339075515,2.10375732685,1.99693943517,1.88303598891,1.79246595481,21.573547809,3.77450675215,2.8339075515,2.10375732685,1.99693943517,1.88303598891,1.79246595481
37,54,37,6800000.0,18,pull,TF,2.61,0.46,0.23,-1.93,-0.34,-0.17,,,,2.89691839762,0.485152189973,0.237413133867,2.01796339899,0.3531488995,0.265149747941,0.196797489212,0.1867614515,0.175981176507,0.167158395786,2.01796339899,0.3531488995,0.265149747941,0.196797489212,0.1867614515,0.175981176507,0.167158395786
38,76,38,100000000.0,12,pull,Random_TF,8.83,1.55,0.76,-1.65,-0.29,-0.15,,,,10.3142810094,1.74671009901,0.854464450752,8.91785595462,1.55999875488,1.17122054972,0.86921719785,0.824820083059,0.776976349633,0.737235376376,8.91785595462,1.55999875488,1.17122054972,0.86921719785,0.824820083059,0.776976349633,0.737235376376
39,96,39,763000000.0,12,push,TF,1.65,0.29,0.14,-60.08,-10.5,-5.15,-65.332800154,-11.0968856841,-5.41221010706,,,,-56.8607002675,-9.94521587678,-7.4665876359,-5.54113125563,-5.25795319293,-4.95245662226,-4.69743840679,-56.8607002675,-9.94521587678,-7.4665876359,-5.54113125563,-5.25795319293,-4.95245662226,-4.69743840679
40,90,40,645000000.0,12,pull,Flip,7.02,1.23,0.61,-1.66,-0.29,-0.15,,,,50.1499930793,8.46743980425,4.15033092105,28.0930873541,4.91512621313,3.69028438545,2.73949589451,2.60040557354,2.45210083154,2.33421175509,28.0930873541,4.91512621313,3.69028438545,2.73949589451,2.60040557354,2.45210083154,2.33421175509
41,53,41,3700000.0,18,pull,TF,2.47,0.44,0.22,-1.97,-0.35,-0.18,,,,2.49625911279,0.427822325566,0.208954817692,1.67644703339,0.293416556498,0.220304439707,0.163516769134,0.155181457325,0.146235561183,0.138942192959,1.67644703339,0.293416556498,0.220304439707,0.163516769134,0.155181457325,0.146235561183,0.138942192959
42,77,42,100000000.0,12,pull,Random_TF,8.92,1.56,0.77,-1.65,-0.29,-0.15,,,,10.3145583773,1.74678507702,0.854500183919,8.91869459741,1.56014547446,1.17133069462,0.869298657686,0.824897052639,0.777047842282,0.737300162485,8.91869459741,1.56014547446,1.17133069462,0.869298657686,0.824897052639,0.777047842282,0.737300162485
43,0,43,0.0,20,pull,TF,2.33,0.41,0.2,-1.98,-0.35,-0.18,,,,2.11429431803,0.357405392237,0.171466537418,1.29703675758,0.227054379852,0.170481471817,0.126541741047,0.120095819292,0.113187794145,0.107594019562,1.29703675758,0.227054379852,0.170481471817,0.126541741047,0.120095819292,0.113187794145,0.107594019562
44,3,44,143000000.0,18,pull,TF,16.0,2.8,1.38,-1.64,-0.29,-0.15,,,,18.0431429009,3.04209124675,1.49105095558,16.0169458246,2.80168875226,2.10344829241,1.56104819453,1.48129764178,1.39531940059,1.32376502583,16.0169458246,2.80168875226,2.10344829241,1.56104819453,1.48129764178,1.39531940059,1.32376502583
45,82,45,100000000.0,12,pull,Random,1.88,0.33,0.17,-2.73,-0.48,-0.24,,,,2.45266890526,0.420832341511,0.205980616979,-2.21456602171,-0.38688545709,-0.290424894915,-0.215440683681,-0.204348691672,-0.19223030629,-0.181600332325,-2.21456602171,-0.38688545709,-0.290424894915,-0.215440683681,-0.204348691672,-0.19223030629,-0.181600332325
46,56,46,5700000.0,18,pull,TF,2.58,0.45,0.23,-1.94,-0.34,-0.17,,,,2.75976661586,0.464260395572,0.22713441214,1.88541976837,0.329967514776,0.247745912492,0.183881741219,0.174505680566,0.164437043469,0.156206669626,1.88541976837,0.329967514776,0.247745912492,0.183881741219,0.174505680566,0.164437043469,0.156206669626
47,23,47,603000000.0,5,pull,TF,7.12,1.25,0.62,-1.65,-0.29,-0.15,,,,8.50922719403,1.44146885739,0.706957957866,7.24616838121,1.26760526079,0.951699188982,0.706304165549,0.670231730733,0.631366822104,0.599113953869,7.24616838121,1.26760526079,0.951699188982,0.706304165549,0.670231730733,0.631366822104,0.599113953869
48,51,48,3100000.0,18,pull,TF,2.46,0.44,0.22,-1.97,-0.35,-0.17,,,,2.42512905547,0.416439561904,0.204049489793,1.61694398947,0.283008730751,0.212490498321,0.157717702359,0.149678582375,0.141051882502,0.13402377678,1.61694398947,0.283008730751,0.212490498321,0.157717702359,0.149678582375,0.141051882502,0.13402377678
49,21,49,149000000.0,5,pull,TF,2.85,0.5,0.25,-1.77,-0.31,-0.16,,,,3.70491026317,0.626390635776,0.306609778165,2.76825181854,0.48438169301,0.363675921777,0.26991648056,0.256143958495,0.241333064646,0.229146674124,2.76825181854,0.48438169301,0.363675921777,0.26991648056,0.256143958495,0.241333064646,0.229146674124
50,69,50,7600000.0,10,pull,TF,2.51,0.44,0.22,-1.96,-0.35,-0.17,,,,2.5602649246,0.436702171364,0.213323753861,1.7309977335,0.302957498901,0.227467489755,0.168832591931,0.160225578478,0.150986502926,0.14344819436,1.7309977335,0.302957498901,0.227467489755,0.168832591931,0.160225578478,0.150986502926,0.14344819436
51,39,51,22000000.0,18,pull,TF,3.33,0.59,0.29,-1.69,-0.3,-0.15,,,,4.53514412611,0.770104966188,0.374187597476,3.56296632081,0.623384322144,0.468035424536,0.347364485141,0.329634296072,0.310554439281,0.294806797945,3.56296632081,0.623384322144,0.468035424536,0.347364485141,0.329634296072,0.310554439281,0.294806797945
52,63,52,7200000.0,18,pull,TF,2.62,0.46,0.23,-1.92,-0.34,-0.17,,,,2.95168068637,0.493525953413,0.240802672061,2.03826039875,0.356700490148,0.267816308647,0.198776526703,0.188639341478,0.177749739442,0.16883458677,2.03826039875,0.356700490148,0.267816308647,0.198776526703,0.188639341478,0.177749739442,0.16883458677
53,11,53,467000000.0,18,pull,TF,43.95,7.67,3.77,-1.64,-0.29,-0.15,,,,54.0572503559,9.12389835594,4.47125559357,49.3637869357,8.63432929859,6.48243933802,4.81081486331,4.56499827061,4.29989269978,4.07891054923,49.3637869357,8.63432929859,6.48243933802,4.81081486331,4.56499827061,4.29989269978,4.07891054923
54,2,54,525000000.0,18,pull,TF,46.96,8.2,4.03,-1.65,-0.4,-0.15,,,,60.4589821964,,5.008388263,55.3317968199,9.67818355953,7.26613726343,5.39241820011,5.1168812708,4.81971805739,4.57199421957,55.3317968199,9.67818355953,7.26613726343,5.39241820011,5.1168812708,4.81971805739,4.57199421957
55,80,55,100000000.0,12,pull,Random,2.24,0.4,0.2,-2.41,-0.43,-0.21,-3.47643393542,-0.595197166021,-0.290235305555,,,,1.75211518722,0.306976962141,0.230508070173,0.171044107824,0.162257150263,0.152695490374,0.144473090801,1.75211518722,0.306976962141,0.230508070173,0.171044107824,0.162257150263,0.152695490374,0.144473090801
56,99,56,10000000.0,12,push,TF,2.11,0.37,0.18,-2.13,-0.38,-0.19,-3.29360688023,-0.561729609705,-0.271850932834,,,,0.556741867191,0.0975694147535,0.073267512281,0.0543965987283,0.0516374274157,0.0487064409281,0.046431811362,0.556741867191,0.0975694147535,0.073267512281,0.0543965987283,0.0516374274157,0.0487064409281,0.046431811362
57,7,57,605000000.0,18,pull,TF,52.25,9.12,4.49,-1.66,-0.29,-0.15,,,,69.3482822852,11.4453733862,5.74029350664,63.5649631051,11.1182331105,8.34728809028,6.19476924092,5.8782314597,5.53684265577,5.25222596859,63.5649631051,11.1182331105,8.34728809028,6.19476924092,5.8782314597,5.53684265577,5.25222596859
58,8,58,471000000.0,18,pull,TF,43.86,7.66,3.77,-1.65,-0.29,-0.15,,,,54.4567165261,9.20231419273,4.51118810316,49.7760217622,8.70643234413,6.53657236228,4.85098842622,4.60311893671,4.33579903217,4.11296978482,49.7760217622,8.70643234413,6.53657236228,4.85098842622,4.60311893671,4.33579903217,4.11296978482
59,58,59,3000000.0,18,pull,TF,2.45,0.43,0.22,-1.96,-0.35,-0.17,,,,2.41394489119,0.414640834844,0.203272958332,1.60531366477,0.280974515034,0.210963267811,0.156584402465,0.148603323698,0.140039511508,0.133064888137,1.60531366477,0.280974515034,0.210963267811,0.156584402465,0.148603323698,0.140039511508,0.133064888137
60,86,60,629000000.0,12,pull,Flip,7.08,1.24,0.61,-1.66,-0.3,-0.15,,,,48.9447516916,8.26279676713,4.05011948169,27.4072861941,4.7951442041,3.60020207788,2.67262332589,2.53692848951,2.39224460918,2.27723542205,27.4072861941,4.7951442041,3.60020207788,2.67262332589,2.53692848951,2.39224460918,2.27723542205
61,10,61,98000000.0,18,pull,TF,11.46,2.01,0.99,-1.66,-0.4,-0.15,,,,13.0381410735,2.19958948587,1.07409986391,11.3827917983,1.99113710095,1.4949077601,1.10943399854,1.05276138101,0.991676263447,0.940888010703,11.3827917983,1.99113710095,1.4949077601,1.10943399854,1.05276138101,0.991676263447,0.940888010703
62,16,62,649000000.0,10,pull,TF,36.73,6.42,3.16,-1.65,-0.29,-0.15,,,,42.1392144788,7.11643391842,3.487873641,38.3592731629,6.70954566286,5.03736288694,3.7383843439,3.54736943637,3.34137486687,3.16970002164,38.3592731629,6.70954566286,5.03736288694,3.7383843439,3.54736943637,3.34137486687,3.16970002164
63,22,63,611000000.0,5,pull,TF,7.21,1.27,0.62,-1.66,-0.29,-0.15,,,,8.60620056846,1.45583133716,0.713366734127,7.32578166745,1.28153075463,0.962154113538,0.714063033429,0.677594073463,0.638301360854,0.605691286071,7.32578166745,1.28153075463,0.962154113538,0.714063033429,0.677594073463,0.638301360854,0.605691286071
64,4,64,740000000.0,18,pull,TF,62.67,10.94,5.38,-1.65,-0.4,-0.15,,,,84.3455701675,14.1248322331,6.98383017229,77.4695394525,13.5502534208,10.173183599,7.54981373436,7.16403044368,6.74794697281,6.40101006602,77.4695394525,13.5502534208,10.173183599,7.54981373436,7.16403044368,6.74794697281,6.40101006602
65,24,65,212000000.0,31,pull,TF,26.69,4.67,2.3,-1.65,-0.29,-0.15,,,,30.084270095,5.07836220914,2.48864905592,27.0591815348,4.73307619846,3.55348335116,2.63716374291,2.5024288462,2.35715347904,2.23617344714,27.0591815348,4.73307619846,3.55348335116,2.63716374291,2.5024288462,2.35715347904,2.23617344714
66,59,66,1500000.0,18,pull,TF,2.4,0.42,0.21,-1.98,-0.35,-0.17,,,,2.25313405042,0.38551165521,0.186828662806,1.45063714758,0.253920329549,0.190651705402,0.141510538005,0.134299606956,0.126566216668,0.120283264252,1.45063714758,0.253920329549,0.190651705402,0.141510538005,0.134299606956,0.126566216668,0.120283264252
67,45,67,42000000.0,10,pull,TF,3.45,0.61,0.3,-1.69,-0.3,-0.15,,,,4.70945786303,0.796204930075,0.387880603314,3.69446543803,0.646384486862,0.485303326378,0.36017948671,0.341794481665,0.322008396664,0.305671938387,3.69446543803,0.646384486862,0.485303326378,0.36017948671,0.341794481665,0.322008396664,0.305671938387
68,52,68,2900000.0,18,pull,TF,2.45,0.43,0.22,-1.96,-0.35,-0.17,,,,2.40322335596,0.41291677645,0.202527917051,1.60746852559,0.28134989654,0.211244981985,0.156793619489,0.148802119887,0.140227633824,0.133246000343,1.60746852559,0.28134989654,0.211244981985,0.156793619489,0.148802119887,0.140227633824,0.133246000343
69,20,69,756000000.0,10,pull,TF,40.92,7.15,3.51,-1.65,-0.29,-0.15,,,,48.7228444647,8.22854401166,4.0332767377,44.4713804842,7.77860340634,5.83998287739,4.33402998978,4.11257689025,3.87374983706,3.67468518656,44.4713804842,7.77860340634,5.83998287739,4.33402998978,4.11257689025,3.87374983706,3.67468518656
70,75,70,6600000.0,31,pull,TF,2.66,0.47,0.23,-1.91,-0.34,-0.17,,,,3.01781710864,0.505854544715,0.246406243236,2.10104291946,0.36768221407,0.276061141522,0.204895414395,0.194445726368,0.183219380062,0.174024451096,2.10104291946,0.36768221407,0.276061141522,0.204895414395,0.194445726368,0.183219380062,0.174024451096
71,47,71,69000000.0,5,pull,TF,2.6,0.46,0.23,-1.93,-0.34,-0.17,,,,2.87313387102,0.481501166884,0.235974102067,1.97895073944,0.346326770658,0.260027998332,0.19299658804,0.18315473143,0.172583622202,0.163933935839,1.97895073944,0.346326770658,0.260027998332,0.19299658804,0.18315473143,0.172583622202,0.163933935839
72,28,72,49000000.0,18,pull,TF,6.06,1.06,0.52,-1.66,-0.29,-0.15,,,,7.54007182404,1.2775171353,0.625833880293,6.33838615564,1.10882872647,0.832494171894,0.617839184693,0.586287580486,0.552299403921,0.524115817877,6.33838615564,1.10882872647,0.832494171894,0.617839184693,0.586287580486,0.552299403921,0.524115817877
73,98,73,29000000.0,12,push,TF,1.79,0.32,0.16,-2.66,-0.47,-0.23,-4.92646475487,-0.82709023752,-0.405291489833,,,,-0.912918050709,-0.159485251514,-0.119722185023,-0.0888260942927,-0.0842664243121,-0.0793030593949,-0.0749930711546,-0.912918050709,-0.159485251514,-0.119722185023,-0.0888260942927,-0.0842664243121,-0.0793030593949,-0.0749930711546
74,93,74,237000000.0,12,push,TF,1.65,0.29,0.14,-16.45,-2.88,-1.41,-22.0485087642,-3.72081094098,-1.82334877619,,,,-16.768358855,-2.93273292674,-2.20180252248,-1.63399353679,-1.55047422392,-1.46034061942,-1.38498062198,-16.768358855,-2.93273292674,-2.20180252248,-1.63399353679,-1.55047422392,-1.46034061942,-1.38498062198
75,91,75,591000000.0,12,pull,Flip,7.1,1.25,0.62,-1.66,-0.3,-0.15,,,,46.072160682,7.7778130845,3.81420271505,25.85101519,4.52286625083,3.39577564991,2.52086465446,2.3928726554,2.25639794358,2.14790205079,25.85101519,4.52286625083,3.39577564991,2.52086465446,2.3928726554,2.25639794358,2.14790205079
76,40,76,59000000.0,18,pull,TF,7.25,1.27,0.63,-1.65,-0.29,-0.15,,,,8.67622611649,1.46555202236,0.717934306775,7.37031791748,1.28932184327,0.968003564445,0.718404295468,0.681713690104,0.642182265401,0.609374309346,7.37031791748,1.28932184327,0.968003564445,0.718404295468,0.681713690104,0.642182265401,0.609374309346
77,60,77,2000000.0,18,pull,TF,2.42,0.43,0.21,-1.97,-0.35,-0.17,,,,2.30518412881,0.396276521364,0.192774983471,1.50211901291,0.262925169342,0.197412318923,0.146527830239,0.139060568333,0.131050793401,0.124537638936,1.50211901291,0.262925169342,0.197412318923,0.146527830239,0.139060568333,0.131050793401,0.124537638936
78,87,78,582000000.0,12,pull,Flip,7.1,1.25,0.62,-1.66,-0.29,-0.15,,,,45.3617258498,7.66277454936,3.75437895185,25.4781038483,4.45762425229,3.34679199842,2.48450126903,2.3583552435,2.2238483448,2.11691540198,25.4781038483,4.45762425229,3.34679199842,2.48450126903,2.3583552435,2.2238483448,2.11691540198
79,13,79,303000000.0,18,pull,TF,31.81,5.56,2.74,-1.64,-0.29,-0.14,,,,35.8051287319,6.04501998168,2.96194100776,32.4834094834,5.68181056823,4.26576698152,3.16576289416,3.00400998197,2.8295798491,2.68423920264,32.4834094834,5.68181056823,4.26576698152,3.16576289416,3.00400998197,2.8295798491,2.68423920264
80,62,80,3800000.0,18,pull,TF,2.5,0.44,0.22,-1.96,-0.35,-0.17,,,,2.50778337205,0.429389659797,0.209744743349,1.6866095372,0.295193945288,0.221638847083,0.164507070334,0.156121160542,0.147120702878,0.139781878891,1.6866095372,0.295193945288,0.221638847083,0.164507070334,0.156121160542,0.147120702878,0.139781878891
81,5,81,548000000.0,18,pull,TF,48.6,8.49,4.17,-1.65,-0.29,-0.15,,,,63.0548330073,,5.21934313688,57.6979883973,10.0920503012,7.57685738868,5.6230119451,5.33569147789,5.0258179791,4.76749142373,57.6979883973,10.0920503012,7.57685738868,5.6230119451,5.33569147789,5.0258179791,4.76749142373
82,48,82,18000000.0,5,pull,TF,2.4,0.42,0.21,-1.98,-0.35,-0.17,,,,2.27677441425,0.390408490939,0.189516399825,1.47400329059,0.25800729586,0.193720095584,0.143787743325,0.136460529951,0.128601885691,0.122215056552,1.47400329059,0.25800729586,0.193720095584,0.143787743325,0.136460529951,0.128601885691,0.122215056552
