% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:41
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -8.16E-4                 304.5161364929446
3.0E-5                    -2.5E-5                  -8.15E-4                 304.3234330076797
3.0E-5                    -2.5E-5                  -8.14E-4                 304.16328695642005
3.0E-5                    -2.5E-5                  -8.13E-4                 303.9705965629182
3.0E-5                    -2.5E-5                  -8.12E-4                 303.77790616941866
3.0E-5                    -2.5E-5                  -8.110000000000001E-4    303.5852157759173
3.0E-5                    -2.5E-5                  -8.100000000000001E-4    303.3925253824177
3.0E-5                    -2.5E-5                  -8.09E-4                 303.19983498891224
3.0E-5                    -2.5E-5                  -8.08E-4                 303.1968341296315
3.0E-5                    -2.5E-5                  -8.07E-4                 303.0027181863293
3.0E-5                    -2.5E-5                  -8.060000000000001E-4    302.8086022430325
3.0E-5                    -2.5E-5                  -8.05E-4                 302.61448629973347
3.0E-5                    -2.5E-5                  -8.04E-4                 302.4203703564317
3.0E-5                    -2.5E-5                  -8.03E-4                 302.2262544131336
3.0E-5                    -2.5E-5                  -8.02E-4                 302.0321384698341
3.0E-5                    -2.5E-5                  -8.010000000000001E-4    301.83802252653504
3.0E-5                    -2.5E-5                  -8.0E-4                  301.6439065832369
3.0E-5                    -2.5E-5                  -7.99E-4                 301.44979063993674
3.0E-5                    -2.5E-5                  -7.98E-4                 301.2556746966384
3.0E-5                    -2.5E-5                  -7.97E-4                 301.061558753338
3.0E-5                    -2.5E-5                  -7.96E-4                 300.867442810038
3.0E-5                    -2.5E-5                  -7.95E-4                 300.67332686673944
3.0E-5                    -2.5E-5                  -7.94E-4                 300.4856826809403
3.0E-5                    -2.5E-5                  -7.930000000000001E-4    300.29144939567095
3.0E-5                    -2.5E-5                  -7.920000000000001E-4    300.0972161104071
3.0E-5                    -2.5E-5                  -7.91E-4                 299.9029828251391
3.0E-5                    -2.5E-5                  -7.9E-4                  299.70874953987345
3.0E-5                    -2.5E-5                  -7.89E-4                 299.51451625460754
3.0E-5                    -2.5E-5                  -7.880000000000001E-4    299.3202829693412
3.0E-5                    -2.5E-5                  -7.87E-4                 299.12604968407516
3.0E-5                    -2.5E-5                  -7.86E-4                 298.93181639880805
3.0E-5                    -2.5E-5                  -7.85E-4                 298.73758311354226
3.0E-5                    -2.5E-5                  -7.84E-4                 298.54334982827675
3.0E-5                    -2.5E-5                  -7.830000000000001E-4    298.3491165430094
3.0E-5                    -2.5E-5                  -7.82E-4                 298.15488325774305
3.0E-5                    -2.5E-5                  -7.81E-4                 297.9606499724771
3.0E-5                    -2.5E-5                  -7.800000000000001E-4    297.7664166872113
3.0E-5                    -2.5E-5                  -7.790000000000001E-4    297.5721834019439
3.0E-5                    -2.5E-5                  -7.78E-4                 297.3779501166778
3.0E-5                    -2.5E-5                  -7.77E-4                 297.1837168314122
3.0E-5                    -2.5E-5                  -7.76E-4                 296.9894835461457
3.0E-5                    -2.5E-5                  -7.750000000000001E-4    296.7952502608798
3.0E-5                    -2.5E-5                  -7.740000000000001E-4    296.60101697561345
3.0E-5                    -2.5E-5                  -7.73E-4                 296.4067836903472
3.0E-5                    -2.5E-5                  -7.72E-4                 296.2125504050793
3.0E-5                    -2.5E-5                  -7.71E-4                 296.01831711981526
3.0E-5                    -2.5E-5                  -7.700000000000001E-4    295.8240838345475
3.0E-5                    -2.5E-5                  -7.69E-4                 295.62985054928106
3.0E-5                    -2.5E-5                  -7.68E-4                 295.43561726401504
3.0E-5                    -2.5E-5                  -7.67E-4                 295.2413839787496
3.0E-5                    -2.5E-5                  -7.66E-4                 295.0471506934826
3.0E-5                    -2.5E-5                  -7.650000000000001E-4    294.85291740821583
3.0E-5                    -2.5E-5                  -7.64E-4                 294.65868412295
3.0E-5                    -2.5E-5                  -7.63E-4                 294.4644508376848
3.0E-5                    -2.5E-5                  -7.620000000000001E-4    294.2702175524167
3.0E-5                    -2.5E-5                  -7.610000000000001E-4    294.07598426715214
3.0E-5                    -2.5E-5                  -7.6E-4                  293.88175098188435
3.0E-5                    -2.5E-5                  -7.59E-4                 293.6875176966192
3.0E-5                    -2.5E-5                  -7.58E-4                 293.4932844113519
3.0E-5                    -2.5E-5                  -7.570000000000001E-4    293.2990511260857
3.0E-5                    -2.5E-5                  -7.56E-4                 293.1048178408194
3.0E-5                    -2.5E-5                  -7.55E-4                 292.9105845555541
3.0E-5                    -2.5E-5                  -7.540000000000001E-4    292.7163512702867
3.0E-5                    -2.5E-5                  -7.53E-4                 292.52211798502054
3.0E-5                    -2.5E-5                  -7.520000000000001E-4    292.32788469975435
3.0E-5                    -2.5E-5                  -7.51E-4                 292.1336514144888
3.0E-5                    -2.5E-5                  -7.5E-4                  291.939418129222
3.0E-5                    -2.5E-5                  -7.490000000000001E-4    291.74518484395594
3.0E-5                    -2.5E-5                  -7.48E-4                 291.55095155868946
3.0E-5                    -2.5E-5                  -7.47E-4                 291.35671827342276
3.0E-5                    -2.5E-5                  -7.46E-4                 291.1624849881563
3.0E-5                    -2.5E-5                  -7.45E-4                 290.96825170289026
3.0E-5                    -2.5E-5                  -7.440000000000001E-4    290.7740184176241
3.0E-5                    -2.5E-5                  -7.43E-4                 290.5797851323573
3.0E-5                    -2.5E-5                  -7.42E-4                 290.3855518470914
3.0E-5                    -2.5E-5                  -7.41E-4                 290.1913185618248
3.0E-5                    -2.5E-5                  -7.4E-4                  289.9970852765588
3.0E-5                    -2.5E-5                  -7.390000000000001E-4    289.80285199129173
3.0E-5                    -2.5E-5                  -7.38E-4                 289.6086187060256
3.0E-5                    -2.5E-5                  -7.37E-4                 289.41438542076037
3.0E-5                    -2.5E-5                  -7.360000000000001E-4    289.22015213549423
3.0E-5                    -2.5E-5                  -7.35E-4                 289.0259188502274
3.0E-5                    -2.5E-5                  -7.340000000000001E-4    288.8316855649619
3.0E-5                    -2.5E-5                  -7.33E-4                 288.63745227969514
3.0E-5                    -2.5E-5                  -7.32E-4                 288.44321899442895
3.0E-5                    -2.5E-5                  -7.310000000000001E-4    288.2489857091619
3.0E-5                    -2.5E-5                  -7.3E-4                  288.054752423895
3.0E-5                    -2.5E-5                  -7.29E-4                 287.86051913863025
3.0E-5                    -2.5E-5                  -7.28E-4                 287.6662858533634
3.0E-5                    -2.5E-5                  -7.27E-4                 287.47205256809764
3.0E-5                    -2.5E-5                  -7.260000000000001E-4    287.2778192828301
3.0E-5                    -2.5E-5                  -7.250000000000001E-4    287.0835859975655
3.0E-5                    -2.5E-5                  -7.24E-4                 286.8893527122996
3.0E-5                    -2.5E-5                  -7.23E-4                 286.69511942703144
3.0E-5                    -2.5E-5                  -7.22E-4                 286.50088614176525
3.0E-5                    -2.5E-5                  -7.210000000000001E-4    286.30665285649945
3.0E-5                    -2.5E-5                  -7.2E-4                  286.11241957123286
3.0E-5                    -2.5E-5                  -7.19E-4                 285.9181862859666
3.0E-5                    -2.5E-5                  -7.180000000000001E-4    285.7239530007007
3.0E-5                    -2.5E-5                  -7.17E-4                 285.5297197154349
3.0E-5                    -2.5E-5                  -7.160000000000001E-4    285.3354864301682
3.0E-5                    -2.5E-5                  -7.15E-4                 285.14125314490207
3.0E-5                    -2.5E-5                  -7.14E-4                 284.94701985963457
3.0E-5                    -2.5E-5                  -7.130000000000001E-4    284.7527865743667
3.0E-5                    -2.5E-5                  -7.12E-4                 284.5585532891031
3.0E-5                    -2.5E-5                  -7.11E-4                 284.36432000383616
3.0E-5                    -2.5E-5                  -7.1E-4                  284.1700867185692
3.0E-5                    -2.5E-5                  -7.09E-4                 283.9758534333047
3.0E-5                    -2.5E-5                  -7.080000000000001E-4    283.757955654169
3.0E-5                    -2.5E-5                  -7.070000000000001E-4    283.56287018522903
3.0E-5                    -2.5E-5                  -7.06E-4                 283.3677847162885
3.0E-5                    -2.5E-5                  -7.050000000000001E-4    283.1726992473523
3.0E-5                    -2.5E-5                  -7.04E-4                 282.97761377841107
3.0E-5                    -2.5E-5                  -7.030000000000001E-4    282.7825283094726
