% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:37
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -8.18E-4                 -77.27438055136987
3.0E-5                    -2.5E-5                  -8.17E-4                 -77.34285414624793
3.0E-5                    -2.5E-5                  -8.16E-4                 -77.41132774112654
3.0E-5                    -2.5E-5                  -8.15E-4                 -77.47980133600394
3.0E-5                    -2.5E-5                  -8.14E-4                 -77.57426741273872
3.0E-5                    -2.5E-5                  -8.13E-4                 -77.64526601680979
3.0E-5                    -2.5E-5                  -8.12E-4                 -77.71626462087966
3.0E-5                    -2.5E-5                  -8.110000000000001E-4    -77.78726322494975
3.0E-5                    -2.5E-5                  -8.100000000000001E-4    -77.85826182901928
3.0E-5                    -2.5E-5                  -8.09E-4                 -77.92926043308978
3.0E-5                    -2.5E-5                  -8.08E-4                 -77.84196354568473
3.0E-5                    -2.5E-5                  -8.07E-4                 -77.91514369300887
3.0E-5                    -2.5E-5                  -8.060000000000001E-4    -77.98832384033255
3.0E-5                    -2.5E-5                  -8.05E-4                 -78.06150398765726
3.0E-5                    -2.5E-5                  -8.04E-4                 -78.1346841349822
3.0E-5                    -2.5E-5                  -8.03E-4                 -78.20786428230633
3.0E-5                    -2.5E-5                  -8.02E-4                 -78.28104442963081
3.0E-5                    -2.5E-5                  -8.010000000000001E-4    -78.35422457695483
3.0E-5                    -2.5E-5                  -8.0E-4                  -78.42740472427954
3.0E-5                    -2.5E-5                  -7.99E-4                 -78.50058487160408
3.0E-5                    -2.5E-5                  -7.98E-4                 -78.57376501892833
3.0E-5                    -2.5E-5                  -7.97E-4                 -78.6469451662532
3.0E-5                    -2.5E-5                  -7.96E-4                 -78.72012531357763
3.0E-5                    -2.5E-5                  -7.95E-4                 -78.79330546090176
3.0E-5                    -2.5E-5                  -7.94E-4                 -78.8331168842873
3.0E-5                    -2.5E-5                  -7.930000000000001E-4    -78.90700667488109
3.0E-5                    -2.5E-5                  -7.920000000000001E-4    -78.9808964654745
3.0E-5                    -2.5E-5                  -7.91E-4                 -79.05478625606811
3.0E-5                    -2.5E-5                  -7.9E-4                  -79.12867604666152
3.0E-5                    -2.5E-5                  -7.89E-4                 -79.20256583725491
3.0E-5                    -2.5E-5                  -7.880000000000001E-4    -79.27645562784858
3.0E-5                    -2.5E-5                  -7.87E-4                 -79.35034541844185
3.0E-5                    -2.5E-5                  -7.86E-4                 -79.42423520903546
3.0E-5                    -2.5E-5                  -7.85E-4                 -79.49812499962898
3.0E-5                    -2.5E-5                  -7.84E-4                 -79.5720147902222
3.0E-5                    -2.5E-5                  -7.830000000000001E-4    -79.64590458081575
3.0E-5                    -2.5E-5                  -7.82E-4                 -79.71979437140939
3.0E-5                    -2.5E-5                  -7.81E-4                 -79.79368416200285
3.0E-5                    -2.5E-5                  -7.800000000000001E-4    -79.8675739525962
3.0E-5                    -2.5E-5                  -7.790000000000001E-4    -79.94146374318984
3.0E-5                    -2.5E-5                  -7.78E-4                 -80.01535353378338
3.0E-5                    -2.5E-5                  -7.77E-4                 -80.0892433243767
3.0E-5                    -2.5E-5                  -7.76E-4                 -80.16313311497015
3.0E-5                    -2.5E-5                  -7.750000000000001E-4    -80.23702290556369
3.0E-5                    -2.5E-5                  -7.740000000000001E-4    -80.31091269615723
3.0E-5                    -2.5E-5                  -7.73E-4                 -80.38480248675056
3.0E-5                    -2.5E-5                  -7.72E-4                 -80.45869227734437
3.0E-5                    -2.5E-5                  -7.71E-4                 -80.53258206793745
3.0E-5                    -2.5E-5                  -7.700000000000001E-4    -80.6064718585312
3.0E-5                    -2.5E-5                  -7.69E-4                 -80.68036164912468
3.0E-5                    -2.5E-5                  -7.68E-4                 -80.75425143971819
3.0E-5                    -2.5E-5                  -7.67E-4                 -80.82814123031142
3.0E-5                    -2.5E-5                  -7.66E-4                 -80.9020310209052
3.0E-5                    -2.5E-5                  -7.650000000000001E-4    -80.97592081149865
3.0E-5                    -2.5E-5                  -7.64E-4                 -81.04981060209207
3.0E-5                    -2.5E-5                  -7.63E-4                 -81.12370039268535
3.0E-5                    -2.5E-5                  -7.620000000000001E-4    -81.19759018327925
3.0E-5                    -2.5E-5                  -7.610000000000001E-4    -81.27147997387236
3.0E-5                    -2.5E-5                  -7.6E-4                  -81.34536976446591
3.0E-5                    -2.5E-5                  -7.59E-4                 -81.41925955505943
3.0E-5                    -2.5E-5                  -7.58E-4                 -81.49314934565302
3.0E-5                    -2.5E-5                  -7.570000000000001E-4    -81.56703913624642
3.0E-5                    -2.5E-5                  -7.56E-4                 -81.6409289268399
3.0E-5                    -2.5E-5                  -7.55E-4                 -81.71481871743349
3.0E-5                    -2.5E-5                  -7.540000000000001E-4    -81.78870850802701
3.0E-5                    -2.5E-5                  -7.53E-4                 -81.86259829862044
3.0E-5                    -2.5E-5                  -7.520000000000001E-4    -81.93648808921388
3.0E-5                    -2.5E-5                  -7.51E-4                 -82.0103778798073
3.0E-5                    -2.5E-5                  -7.5E-4                  -82.08426767040092
3.0E-5                    -2.5E-5                  -7.490000000000001E-4    -82.15815746099423
3.0E-5                    -2.5E-5                  -7.48E-4                 -82.23204725158772
